,train_loss,val_loss
0,280192223.8540799,280192223.8540799
1,1.8377695342007145,1.8377695342007145
2,1.8374035488937288,1.8374035488937288
3,1.8374627960274215,1.8374627960274215
4,1.8375495410041427,1.8375495410041427
5,1.8374398033495718,1.8374398033495718
6,1.8368847643134933,1.8368847643134933
7,1.8374483183029964,1.8374483183029964
8,1.8374084666053834,1.8374084666053834
9,1.8374873157403588,1.8374873157403588
10,1.8372232942291546,1.8372232942291546
11,1.8373764698452264,1.8373764698452264
12,1.8372710229367741,1.8372710229367741
13,1.8374044791524562,1.8374044791524562
14,1.8372321804160148,1.8372321804160148
15,1.8372744788091147,1.8372744788091147
16,1.8374202060489249,1.8374202060489249
17,1.8374968530966491,1.8374968530966491
18,1.8373712724311486,1.8373712724311486
19,1.837303353646442,1.837303353646442
20,1.8372506576515195,1.8372506576515195
21,1.8375452329153061,1.8375452329153061
22,1.8373112889618493,1.8373112889618493
23,1.8369295395912564,1.8369295395912564
24,1.8372280564986694,1.8372280564986694
25,1.8371161544203263,1.8371161544203263
26,1.8374170368861662,1.8374170368861662
27,1.8372428618369663,1.8372428618369663
28,1.8375472999395706,1.8375472999395706
29,1.8373190412152318,1.8373190412152318
